"Huishoudens";"Hoofdkostwinner: tot 25 jaar";"Hoofdkostwinner: 25 tot 35 jaar";"Hoofdkostwinner: 35 tot 45 jaar";"Hoofdkostwinner: 45 tot 55 jaar";"Hoofdkostwinner: 55 tot 65 jaar";"Hoofdkostwinner: 65 tot 75 jaar";"Hoofdkostwinner: 75 jaar of ouder"
"Bestedingscategorieën";"%";"%";"%";"%";"%";"%";"%"
"Voedingsmiddelen";"9.4";"9.9";"11.2";"11.5";"10.8";"11.2";"11.4"
"Alcoholhoudende dranken en tabak";"2.8";"2.7";"2.6";"2.8";"3.6";"3.5";"2.4"
"Kleding en schoenen";"4.9";"5.4";"5.4";"5.2";"4.0";"4.0";"3.5"
"Huisvesting, water en energie";"33.9";"32.4";"29.9";"27.9";"30.6";"34.6";"40.4"
"Stoffering en huish. apparaten.";"2.9";"5.0";"5.2";"5.2";"5.3";"5.9";"6.9"
"Gezondheid";"1.0";"1.0";"1.1";"1.2";"1.6";"1.7";"2.0"
"Vervoer";"11.4";"13.3";"13.4";"14.4";"14.4";"11.2";"6.3"
"Communicatie";"3.6";"3.9";"3.3";"3.3";"3.2";"3.2";"3.3"
"Recreatie en cultuur";"9.3";"8.0";"9.6";"10.4";"10.2";"9.8";"9.1"
"Onderwijs";"7.9";"1.4";"1.0";"2.2";"1.0";"0.2";"0.1"
"Restaurants en hotels";"7.7";"6.9";"6.2";"6.1";"5.6";"5.4";"4.0"
"Goede doelen";"0.1";"0.3";"0.3";"0.3";"0.5";"0.6";"0.9"
"© Centraal Bureau voor de Statistiek, Den Haag/Heerlen 17-10-2017"
